epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2487.62,0.61929,0.82512,1.01708,0.92739,0.83864,0.91841,0.77713,0.63306,0.52776,0.99515,0.0005941,0.0005941,0.0005941
43,2546.37,0.6196,0.81262,1.01266,0.9543,0.81713,0.92138,0.78417,0.63107,0.51343,0.99712,0.0005842,0.0005842,0.0005842
44,2605.23,0.62447,0.82114,1.01714,0.93199,0.84611,0.92064,0.77621,0.6378,0.53896,0.99938,0.0005743,0.0005743,0.0005743
45,2664.3,0.6156,0.83355,1.0153,0.95227,0.8471,0.93292,0.79067,0.62331,0.48747,0.98539,0.0005644,0.0005644,0.0005644
46,2722.82,0.62799,0.82101,1.01844,0.95465,0.83324,0.92591,0.78294,0.63585,0.5058,0.99407,0.0005545,0.0005545,0.0005545
47,2781.88,0.61581,0.8082,1.01478,0.93463,0.84888,0.93091,0.78939,0.61904,0.49306,0.98634,0.0005446,0.0005446,0.0005446
48,2840.72,0.60865,0.79337,1.01407,0.9439,0.84427,0.93276,0.79153,0.61038,0.47902,0.98447,0.0005347,0.0005347,0.0005347
49,2899.66,0.60872,0.81159,1.01631,0.90848,0.87681,0.92951,0.7841,0.6333,0.48677,0.99693,0.0005248,0.0005248,0.0005248
50,2958.81,0.60675,0.78483,1.00968,0.94466,0.85138,0.93733,0.7962,0.61952,0.47285,0.99053,0.0005149,0.0005149,0.0005149
51,3017.95,0.6055,0.79849,1.01333,0.9267,0.8563,0.92888,0.78716,0.6161,0.48881,0.98058,0.000505,0.000505,0.000505
52,3076.82,0.59862,0.7733,1.00966,0.92507,0.86304,0.93043,0.79814,0.61922,0.45938,0.98984,0.0004951,0.0004951,0.0004951
53,3135.46,0.59716,0.763,1.00246,0.91891,0.87272,0.93204,0.80018,0.60644,0.45124,0.97652,0.0004852,0.0004852,0.0004852
54,3193.91,0.60389,0.74845,1.00564,0.91938,0.88117,0.93526,0.80009,0.6031,0.46308,0.97353,0.0004753,0.0004753,0.0004753
55,3252.42,0.59723,0.75771,1.00993,0.92539,0.8621,0.93182,0.80036,0.60961,0.47133,0.97906,0.0004654,0.0004654,0.0004654
56,3310.96,0.59058,0.75225,1.00639,0.92282,0.87641,0.93814,0.79799,0.60127,0.45332,0.97367,0.0004555,0.0004555,0.0004555
57,3370.05,0.59321,0.74714,1.00274,0.92339,0.87366,0.93918,0.80546,0.60739,0.45282,0.98181,0.0004456,0.0004456,0.0004456
58,3428.93,0.58497,0.74301,0.99955,0.94024,0.87883,0.94182,0.80143,0.60912,0.45926,0.97967,0.0004357,0.0004357,0.0004357
59,3487.77,0.60314,0.74739,1.00351,0.94805,0.87961,0.94526,0.80754,0.59814,0.43805,0.97255,0.0004258,0.0004258,0.0004258
60,3546.7,0.5875,0.73395,0.99512,0.93901,0.87519,0.94255,0.7998,0.60202,0.44944,0.97682,0.0004159,0.0004159,0.0004159
61,3605.81,0.58289,0.73599,1.00068,0.94696,0.87942,0.94463,0.80221,0.59318,0.44722,0.96785,0.000406,0.000406,0.000406
62,3664.71,0.57722,0.71287,0.9966,0.91668,0.8796,0.93977,0.80574,0.58994,0.4417,0.97193,0.0003961,0.0003961,0.0003961
63,3723.76,0.57586,0.71862,0.9953,0.90461,0.88319,0.93947,0.7998,0.6023,0.45319,0.97339,0.0003862,0.0003862,0.0003862
64,3782.77,0.58418,0.73016,0.99705,0.95419,0.87603,0.94988,0.80889,0.59966,0.43277,0.97013,0.0003763,0.0003763,0.0003763
65,3841.76,0.57305,0.70838,0.99651,0.89609,0.89407,0.94402,0.806,0.59441,0.4405,0.96959,0.0003664,0.0003664,0.0003664
66,3900.75,0.57953,0.70755,0.98719,0.94014,0.88249,0.94796,0.81063,0.58668,0.42349,0.96536,0.0003565,0.0003565,0.0003565
67,3959.49,0.5753,0.70167,0.99635,0.90864,0.89324,0.9457,0.80683,0.59227,0.43173,0.96399,0.0003466,0.0003466,0.0003466
68,4018.05,0.57484,0.69307,0.9896,0.92196,0.89271,0.95013,0.81326,0.58863,0.42586,0.96287,0.0003367,0.0003367,0.0003367
69,4077,0.56881,0.68726,0.98977,0.95142,0.87219,0.94747,0.81061,0.59242,0.4195,0.96369,0.0003268,0.0003268,0.0003268
70,4135.71,0.56637,0.68491,0.98332,0.92418,0.88137,0.9465,0.80947,0.59235,0.42297,0.96985,0.0003169,0.0003169,0.0003169
71,4194.52,0.5788,0.69529,0.99351,0.94301,0.87852,0.94937,0.81045,0.59543,0.42151,0.96848,0.000307,0.000307,0.000307
72,4253.4,0.57462,0.69795,0.99584,0.92259,0.8773,0.94018,0.8045,0.58391,0.42213,0.96431,0.0002971,0.0002971,0.0002971
73,4312.7,0.56321,0.68359,0.99085,0.93235,0.88469,0.94929,0.81308,0.58658,0.41596,0.96222,0.0002872,0.0002872,0.0002872
74,4371.71,0.56493,0.68155,0.99362,0.95213,0.87694,0.95056,0.81341,0.59159,0.41207,0.96706,0.0002773,0.0002773,0.0002773
75,4430.75,0.5614,0.68541,0.98867,0.95793,0.88286,0.95436,0.81384,0.59354,0.4104,0.96789,0.0002674,0.0002674,0.0002674
76,4489.64,0.55516,0.66046,0.98625,0.95508,0.88485,0.94942,0.81144,0.59143,0.41024,0.96588,0.0002575,0.0002575,0.0002575
77,4548.74,0.55487,0.6619,0.98301,0.95472,0.89215,0.95417,0.81284,0.5864,0.40261,0.96626,0.0002476,0.0002476,0.0002476
78,4607.75,0.55697,0.678,0.9838,0.93908,0.89739,0.95163,0.81371,0.58969,0.40698,0.96726,0.0002377,0.0002377,0.0002377
79,4666.79,0.55411,0.67049,0.97754,0.95164,0.88882,0.95631,0.81316,0.58361,0.40139,0.96513,0.0002278,0.0002278,0.0002278
80,4725.67,0.55241,0.65753,0.97951,0.95874,0.87604,0.9533,0.81466,0.58621,0.40568,0.96298,0.0002179,0.0002179,0.0002179
81,4784.59,0.54264,0.64882,0.98544,0.93168,0.89868,0.95309,0.81255,0.58461,0.39525,0.96293,0.000208,0.000208,0.000208
82,4843.39,0.55324,0.65839,0.9801,0.945,0.89433,0.95584,0.81997,0.58815,0.39351,0.96584,0.0001981,0.0001981,0.0001981
83,4902.22,0.54701,0.64466,0.97392,0.95214,0.8851,0.95623,0.81585,0.5812,0.39309,0.96429,0.0001882,0.0001882,0.0001882
84,4961.18,0.54701,0.63535,0.97792,0.95739,0.89427,0.95625,0.81676,0.58841,0.39307,0.96496,0.0001783,0.0001783,0.0001783
85,5020.01,0.54074,0.64009,0.98027,0.94731,0.89216,0.95562,0.81709,0.58819,0.3973,0.96245,0.0001684,0.0001684,0.0001684
86,5078.69,0.54601,0.64736,0.9816,0.94676,0.8974,0.95752,0.81855,0.58115,0.38669,0.95869,0.0001585,0.0001585,0.0001585
87,5137.46,0.53996,0.63425,0.97374,0.94751,0.89668,0.95718,0.81935,0.58156,0.38661,0.96245,0.0001486,0.0001486,0.0001486
88,5196.3,0.55043,0.63217,0.98195,0.95076,0.8941,0.95604,0.81793,0.58046,0.38648,0.96167,0.0001387,0.0001387,0.0001387
89,5255.31,0.53569,0.63207,0.97712,0.94836,0.9016,0.9583,0.81972,0.5794,0.38246,0.95854,0.0001288,0.0001288,0.0001288
90,5313.98,0.53868,0.61661,0.97522,0.9468,0.89448,0.95898,0.82142,0.57872,0.38009,0.95919,0.0001189,0.0001189,0.0001189
91,5428.08,0.50965,0.36867,0.92533,0.94792,0.89885,0.95692,0.82007,0.57734,0.3795,0.96011,0.000109,0.000109,0.000109
92,5485.96,0.50162,0.35539,0.92023,0.9478,0.89232,0.95726,0.82072,0.58288,0.37809,0.96334,9.91e-05,9.91e-05,9.91e-05
93,5543.98,0.50151,0.35382,0.92432,0.9491,0.89337,0.95869,0.82224,0.57288,0.37836,0.95836,8.92e-05,8.92e-05,8.92e-05
94,5600.63,0.49345,0.35044,0.92142,0.96395,0.88632,0.95821,0.82041,0.57892,0.37362,0.95886,7.93e-05,7.93e-05,7.93e-05
95,5657.65,0.49502,0.3422,0.9165,0.95452,0.89193,0.95908,0.82184,0.5715,0.36991,0.95576,6.94e-05,6.94e-05,6.94e-05
96,5715.63,0.49094,0.33991,0.92037,0.94383,0.90099,0.95918,0.82034,0.56893,0.36694,0.95269,5.95e-05,5.95e-05,5.95e-05
97,5773.4,0.48602,0.3341,0.91637,0.94532,0.90159,0.95998,0.82313,0.57062,0.36415,0.95514,4.96e-05,4.96e-05,4.96e-05
98,5831.17,0.49126,0.33591,0.91878,0.95204,0.89652,0.96115,0.82504,0.57241,0.36328,0.95464,3.97e-05,3.97e-05,3.97e-05
99,5888.61,0.47973,0.32791,0.91191,0.94366,0.90348,0.96062,0.82426,0.56981,0.36374,0.95323,2.98e-05,2.98e-05,2.98e-05
100,5946.03,0.48135,0.33018,0.91121,0.94717,0.89952,0.96014,0.82443,0.56971,0.36175,0.95374,1.99e-05,1.99e-05,1.99e-05
